timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu
2026/08/20 07:29:58.664, Tesla V100-PCIE-16GB, 46 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:30:08.667, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:30:18.668, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:30:28.669, Tesla V100-PCIE-16GB, 48 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:30:38.670, Tesla V100-PCIE-16GB, 50 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:30:48.671, Tesla V100-PCIE-16GB, 44 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:30:58.672, Tesla V100-PCIE-16GB, 48 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:31:08.673, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:31:18.675, Tesla V100-PCIE-16GB, 50 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:31:28.676, Tesla V100-PCIE-16GB, 50 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:31:38.677, Tesla V100-PCIE-16GB, 48 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:31:48.677, Tesla V100-PCIE-16GB, 47 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:31:58.679, Tesla V100-PCIE-16GB, 17 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:32:08.680, Tesla V100-PCIE-16GB, 50 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:32:18.681, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:32:28.683, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:32:38.684, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:32:48.685, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:32:58.686, Tesla V100-PCIE-16GB, 51 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:33:08.687, Tesla V100-PCIE-16GB, 50 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:33:18.688, Tesla V100-PCIE-16GB, 18 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:33:28.691, Tesla V100-PCIE-16GB, 48 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:33:38.692, Tesla V100-PCIE-16GB, 48 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:33:48.693, Tesla V100-PCIE-16GB, 50 %, 3 %, 548 MiB, 16384 MiB, 50
2026/08/20 07:33:58.694, Tesla V100-PCIE-16GB, 49 %, 3 %, 548 MiB, 16384 MiB, 50
