timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/08/11 07:23:02.962, Tesla V100-PCIE-16GB, 56 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:23:07.962, Tesla V100-PCIE-16GB, 59 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:23:12.967, Tesla V100-PCIE-16GB, 55 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:23:17.968, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:23:22.969, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:23:27.970, Tesla V100-PCIE-16GB, 60 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:23:32.970, Tesla V100-PCIE-16GB, 58 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:23:37.973, Tesla V100-PCIE-16GB, 57 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:23:42.976, Tesla V100-PCIE-16GB, 54 %, 7 %, 642 MiB, 16384 MiB
2026/08/11 07:23:47.977, Tesla V100-PCIE-16GB, 36 %, 11 %, 642 MiB, 16384 MiB
2026/08/11 07:23:53.046, Tesla V100-PCIE-16GB, 42 %, 24 %, 642 MiB, 16384 MiB
2026/08/11 07:23:58.048, Tesla V100-PCIE-16GB, 30 %, 17 %, 642 MiB, 16384 MiB
2026/08/11 07:24:03.049, Tesla V100-PCIE-16GB, 46 %, 17 %, 1262 MiB, 16384 MiB
2026/08/11 07:24:08.049, Tesla V100-PCIE-16GB, 41 %, 15 %, 1262 MiB, 16384 MiB
2026/08/11 07:24:13.050, Tesla V100-PCIE-16GB, 35 %, 12 %, 1262 MiB, 16384 MiB
2026/08/11 07:24:18.051, Tesla V100-PCIE-16GB, 28 %, 11 %, 1262 MiB, 16384 MiB
2026/08/11 07:24:23.052, Tesla V100-PCIE-16GB, 42 %, 15 %, 1262 MiB, 16384 MiB
